city,city_year_mean
Ribeirão Preto,38.24
Rio de Janeiro,34.23
Osasco,32.98
Guarulhos,29.42
São Bernardo do Campo,28.74
São Paulo,27.55
Duque de Caxias,27.39
Sorocaba,26.86
Campinas,24.43
