nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
d3/d3,2010-09-27T17:22:42Z,2025-08-14T20:17:37Z,Shell,493,194,2228,2220
langgenius/dify,2023-04-12T07:40:24Z,2025-08-14T20:22:41Z,TypeScript,6948,140,12407,11710
ripienaar/free-for-dev,2015-03-18T21:06:26Z,2025-08-14T19:18:15Z,HTML,2756,0,0,0
mrdoob/three.js,2010-03-23T18:58:01Z,2025-08-14T20:19:17Z,JavaScript,14362,171,13152,12713
axios/axios,2014-08-18T22:30:27Z,2025-08-14T20:18:11Z,JavaScript,1000,97,4843,4427
open-webui/open-webui,2023-10-06T22:08:27Z,2025-08-14T20:24:33Z,JavaScript,2482,119,6103,5901
rust-lang/rust,2010-06-16T20:39:03Z,2025-08-14T20:17:36Z,Rust,65441,140,59131,48472
microsoft/TypeScript,2014-06-17T15:28:39Z,2025-08-14T20:18:08Z,TypeScript,14673,212,42429,36843
excalidraw/excalidraw,2020-01-02T01:04:43Z,2025-08-14T20:20:23Z,TypeScript,3693,14,4231,2399
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2025-08-14T19:11:32Z,Dockerfile,765,0,328,285
denoland/deno,2018-05-15T01:34:26Z,2025-08-14T20:19:27Z,Rust,13302,341,13146,10867
facebook/create-react-app,2016-07-17T14:55:11Z,2025-08-14T20:18:44Z,JavaScript,1949,83,8400,6567
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2025-08-14T20:20:11Z,Java,0,0,340,161
langflow-ai/langflow,2023-02-08T22:28:03Z,2025-08-14T20:24:24Z,Python,4593,262,2673,2245
godotengine/godot,2014-01-04T16:05:36Z,2025-08-14T20:18:04Z,C++,38657,61,58001,45944
microsoft/terminal,2017-08-11T18:38:22Z,2025-08-14T20:19:06Z,C++,4182,136,13453,11856
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2025-08-14T20:24:30Z,Python,21,1,581,553
angular/angular,2014-09-18T16:12:01Z,2025-08-14T20:18:13Z,TypeScript,3873,467,29455,27989
fatedier/frp,2015-12-21T15:24:59Z,2025-08-14T20:18:32Z,Go,682,106,3893,3832
