nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2025-08-19T20:14:34Z,TypeScript,25716,0,19824,19631
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2025-08-19T20:16:32Z,Markdown,142,0,821,595
sindresorhus/awesome,2014-07-11T13:42:37Z,2025-08-19T20:16:05Z,,679,0,353,340
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2025-08-19T19:48:55Z,Python,6820,0,1181,1150
public-apis/public-apis,2016-03-20T23:49:42Z,2025-08-19T20:05:14Z,Python,1872,0,711,703
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2025-08-19T20:02:35Z,TypeScript,3679,1,2941,2693
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2025-08-19T19:17:16Z,,415,0,516,453
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2025-08-19T20:17:37Z,Python,200,0,339,91
996icu/996.ICU,2019-03-26T07:31:14Z,2025-08-19T18:19:36Z,,1067,0,0,0
vinta/awesome-python,2014-06-27T21:00:06Z,2025-08-19T20:19:11Z,Python,544,0,0,0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2025-08-19T20:15:10Z,,2394,1,806,806
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2025-08-19T20:05:01Z,,182,0,209,79
facebook/react,2013-05-24T16:15:54Z,2025-08-19T19:55:46Z,JavaScript,12111,105,13990,13192
vuejs/vue,2013-07-29T03:24:51Z,2025-08-19T20:15:13Z,TypeScript,1133,249,10028,9673
TheAlgorithms/Python,2016-07-16T09:44:01Z,2025-08-19T19:45:04Z,Python,2976,0,1587,1511
torvalds/linux,2011-09-04T22:48:12Z,2025-08-19T20:01:23Z,C,10,0,0,0
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2025-08-19T19:11:00Z,JavaScript,302,0,366,229
tensorflow/tensorflow,2015-11-07T01:19:20Z,2025-08-19T20:12:10Z,C++,35904,219,40730,39837
ossu/computer-science,2014-05-04T00:18:39Z,2025-08-19T19:53:36Z,HTML,298,0,652,638
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2025-08-19T20:16:41Z,,368,0,944,863
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2025-08-19T20:15:15Z,,122,0,0,0
CyC2018/CS-Notes,2018-02-13T14:56:24Z,2025-08-19T19:17:57Z,,374,0,571,448
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2025-08-19T18:49:03Z,Shell,3377,0,4966,4826
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2025-08-19T20:07:11Z,Python,3190,67,3391,3227
microsoft/vscode,2015-09-03T20:23:38Z,2025-08-19T20:17:17Z,TypeScript,36128,176,205100,192995
twbs/bootstrap,2011-07-29T21:19:00Z,2025-08-19T19:28:41Z,MDX,8970,93,22750,22344
flutter/flutter,2015-03-06T22:54:58Z,2025-08-19T19:59:37Z,Dart,43772,7,108739,96848
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2025-08-19T18:18:18Z,Jupyter Notebook,13,0,691,118
github/gitignore,2010-11-08T20:17:14Z,2025-08-19T19:28:47Z,,1713,0,0,0
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2025-08-19T19:28:17Z,,317,0,258,136
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2025-08-19T20:00:45Z,Python,1874,27,7830,5467
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2025-08-19T17:00:05Z,Java,1179,0,1104,1032
ollama/ollama,2023-06-26T19:39:32Z,2025-08-19T20:03:27Z,Go,2465,142,7964,6201
avelino/awesome-go,2014-07-06T13:42:15Z,2025-08-19T20:15:17Z,Go,3457,0,687,681
huggingface/transformers,2018-10-29T13:56:00Z,2025-08-19T20:10:11Z,Python,16617,222,17801,16717
airbnb/javascript,2012-11-01T23:13:50Z,2025-08-19T18:24:12Z,JavaScript,810,0,1366,1269
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2025-08-19T19:48:07Z,Batchfile,6,24,720,720
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2025-08-19T19:07:08Z,Python,1642,341,26768,23125
vercel/next.js,2016-10-05T23:32:51Z,2025-08-19T20:16:51Z,JavaScript,23600,1000,23356,21033
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2025-08-19T19:07:25Z,JavaScript,171,0,0,0
n8n-io/n8n,2019-06-22T09:24:21Z,2025-08-19T20:19:24Z,TypeScript,10591,380,5123,4516
golang/go,2014-08-19T04:33:40Z,2025-08-19T19:55:26Z,Go,1,0,67915,58736
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2025-08-19T16:19:28Z,Markdown,238,1,918,916
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2025-08-19T19:40:30Z,TypeScript,481,0,115,74
Genymobile/scrcpy,2017-11-21T18:00:27Z,2025-08-19T19:55:31Z,C,113,47,5614,3167
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2025-08-19T19:30:56Z,Python,16,57,2839,2626
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,2025-08-19T19:49:48Z,JavaScript,826,12,300,300
facebook/react-native,2015-01-09T18:10:16Z,2025-08-19T18:44:02Z,C++,930,410,27199,26541
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,2025-08-19T20:19:34Z,Python,2886,116,9751,8131
microsoft/PowerToys,2019-05-01T17:44:02Z,2025-08-19T17:47:27Z,C#,5628,117,34528,27533
electron/electron,2013-04-12T01:47:36Z,2025-08-19T19:04:57Z,C++,23240,1000,21044,20289
kubernetes/kubernetes,2014-06-06T22:56:04Z,2025-08-19T20:05:03Z,Go,62231,754,47683,45770
krahets/hello-algo,2022-11-04T11:08:34Z,2025-08-19T18:05:41Z,Java,945,9,269,257
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2025-08-19T17:03:24Z,,282,3,0,0
langchain-ai/langchain,2022-10-17T02:58:36Z,2025-08-19T19:14:13Z,Jupyter Notebook,14476,946,8637,8431
nodejs/node,2014-11-26T19:57:11Z,2025-08-19T19:38:18Z,JavaScript,10739,455,19447,17728
langgenius/dify,2023-04-12T07:40:24Z,2025-08-19T20:09:54Z,TypeScript,7019,140,12515,11818
d3/d3,2010-09-27T17:22:42Z,2025-08-19T19:37:05Z,Shell,493,194,2229,2220
ripienaar/free-for-dev,2015-03-18T21:06:26Z,2025-08-19T19:18:18Z,HTML,2757,0,0,0
mrdoob/three.js,2010-03-23T18:58:01Z,2025-08-19T19:21:35Z,JavaScript,14381,171,13168,12720
axios/axios,2014-08-18T22:30:27Z,2025-08-19T19:21:32Z,JavaScript,1000,97,4843,4570
open-webui/open-webui,2023-10-06T22:08:27Z,2025-08-19T20:12:22Z,JavaScript,2496,119,6143,5947
rust-lang/rust,2010-06-16T20:39:03Z,2025-08-19T20:01:39Z,Rust,65560,140,59207,48568
microsoft/TypeScript,2014-06-17T15:28:39Z,2025-08-19T19:36:29Z,TypeScript,14674,212,42443,36853
excalidraw/excalidraw,2020-01-02T01:04:43Z,2025-08-19T19:16:40Z,TypeScript,3695,14,4238,2402
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2025-08-19T19:33:40Z,Dockerfile,765,0,328,285
denoland/deno,2018-05-15T01:34:26Z,2025-08-19T17:08:00Z,Rust,13324,341,13171,10901
facebook/create-react-app,2016-07-17T14:55:11Z,2025-08-19T16:37:18Z,JavaScript,1949,83,8400,6567
langflow-ai/langflow,2023-02-08T22:28:03Z,2025-08-19T20:18:49Z,Python,4609,262,2685,2256
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2025-08-19T18:57:53Z,Java,0,0,340,161
godotengine/godot,2014-01-04T16:05:36Z,2025-08-19T19:33:45Z,C++,38688,61,58080,45989
microsoft/terminal,2017-08-11T18:38:22Z,2025-08-19T19:14:04Z,C++,4185,136,13459,11859
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2025-08-19T19:37:40Z,Python,21,1,583,555
angular/angular,2014-09-18T16:12:01Z,2025-08-19T19:24:18Z,TypeScript,3877,467,29471,28007
fatedier/frp,2015-12-21T15:24:59Z,2025-08-19T20:07:44Z,Go,683,106,3900,3837
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2025-08-19T20:06:00Z,Shell,437,0,246,245
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2025-08-19T20:06:05Z,,34,0,0,0
mui/material-ui,2014-08-18T19:11:54Z,2025-08-19T17:54:40Z,TypeScript,20795,547,20168,18550
iptv-org/iptv,2018-11-14T22:00:57Z,2025-08-19T19:02:41Z,TypeScript,6669,0,14808,14331
rustdesk/rustdesk,2020-09-28T15:36:08Z,2025-08-19T19:32:25Z,Rust,3632,31,3592,3536
