nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
tauri-apps/tauri,2019-07-13T09:09:37Z,2025-08-19T19:55:29Z,Rust,5165,1000,5765,4641
ant-design/ant-design,2015-04-24T15:37:24Z,2025-08-19T19:44:02Z,TypeScript,15764,714,31614,30386
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2025-08-19T20:08:24Z,Jupyter Notebook,376,0,176,165
nvbn/thefuck,2015-04-08T15:08:04Z,2025-08-19T19:34:48Z,Python,481,17,759,472
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2025-08-19T19:34:51Z,JavaScript,149,0,235,163
shadcn-ui/ui,2023-01-04T12:43:27Z,2025-08-19T19:57:11Z,TypeScript,636,52,3342,2376
Anduin2017/HowToCook,2020-02-29T10:43:49Z,2025-08-19T20:12:23Z,Dockerfile,586,4,780,346
pytorch/pytorch,2016-08-13T05:26:41Z,2025-08-19T20:17:26Z,Python,6192,61,53193,37709
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2025-08-19T15:31:05Z,Java,1507,0,959,830
neovim/neovim,2014-01-31T13:39:22Z,2025-08-19T19:03:11Z,Vim Script,16124,45,13115,11470
puppeteer/puppeteer,2017-05-09T22:16:13Z,2025-08-19T19:34:58Z,TypeScript,5416,557,7217,6950
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2025-08-19T18:56:18Z,JavaScript,514,0,331,242
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,2025-08-19T19:37:19Z,,9,1,631,584
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2025-08-19T15:50:12Z,Vue,311,49,3609,2357
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2025-08-19T18:13:25Z,TypeScript,3070,290,4538,4458
fastapi/fastapi,2018-12-08T08:21:47Z,2025-08-19T20:11:34Z,Python,2737,208,3466,3417
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2025-08-19T19:37:57Z,,99,0,52,23
storybookjs/storybook,2016-03-18T04:23:44Z,2025-08-19T19:35:02Z,TypeScript,11474,1000,13688,11612
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2025-08-19T20:07:11Z,JavaScript,990,12,478,365
supabase/supabase,2019-10-12T05:56:49Z,2025-08-19T20:14:03Z,TypeScript,12919,22,4655,4417
openai/whisper,2022-09-16T20:02:54Z,2025-08-19T20:13:11Z,Python,119,13,0,0
nvm-sh/nvm,2010-04-15T17:47:47Z,2025-08-19T18:47:45Z,Shell,729,70,2314,1997
comfyanonymous/ComfyUI,2023-01-17T03:15:56Z,2025-08-19T20:13:39Z,Python,1179,72,6153,3653
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,2025-08-19T19:07:39Z,TypeScript,889,77,3547,2887
2dust/v2rayN,2019-07-30T03:47:24Z,2025-08-19T18:33:34Z,C#,272,264,6018,6012
ggml-org/llama.cpp,2023-03-10T18:58:00Z,2025-08-19T20:18:21Z,C++,5483,1000,5690,5356
bitcoin/bitcoin,2010-12-19T15:16:43Z,2025-08-19T19:20:15Z,C++,15502,56,8681,8270
florinpop17/app-ideas,2019-02-25T18:36:56Z,2025-08-19T18:22:07Z,,149,0,170,44
django/django,2012-04-28T02:47:18Z,2025-08-19T17:58:55Z,Python,9849,0,0,0
sveltejs/svelte,2016-11-20T18:13:05Z,2025-08-19T19:47:02Z,JavaScript,5988,510,8494,7680
gin-gonic/gin,2014-06-16T23:57:25Z,2025-08-19T19:45:38Z,Go,1114,27,2348,1680
opencv/opencv,2012-07-19T09:40:17Z,2025-08-19T19:33:47Z,C++,13078,66,11232,8629
gohugoio/hugo,2013-07-04T15:26:26Z,2025-08-19T18:36:11Z,Go,2953,337,7796,7356
gothinkster/realworld,2016-02-26T20:49:53Z,2025-08-19T18:09:36Z,TypeScript,433,0,542,503
mermaid-js/mermaid,2014-11-01T23:52:32Z,2025-08-19T19:35:22Z,TypeScript,2437,161,3366,2097
animate-css/animate.css,2011-10-12T10:07:38Z,2025-08-19T19:51:26Z,CSS,315,22,880,841
laravel/laravel,2011-06-08T03:06:08Z,2025-08-19T19:07:09Z,Blade,1640,197,0,0
macrozheng/mall,2018-04-04T01:11:44Z,2025-08-19T15:41:33Z,Java,1,3,497,487
home-assistant/core,2013-09-17T07:29:48Z,2025-08-19T20:17:38Z,Python,75750,1000,62430,60050
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,2025-08-19T20:15:32Z,HTML,0,0,0,0
tonsky/FiraCode,2014-11-11T19:32:38Z,2025-08-19T17:58:27Z,Clojure,137,29,1364,954
oven-sh/bun,2021-04-14T00:48:17Z,2025-08-19T20:15:05Z,Zig,5955,196,13072,8292
3b1b/manim,2015-03-22T18:50:58Z,2025-08-19T19:28:38Z,Python,642,13,1212,761
spring-projects/spring-boot,2012-10-19T15:02:57Z,2025-08-19T20:00:51Z,Java,42,317,39264,38702
doocs/advanced-java,2018-10-06T11:38:30Z,2025-08-19T16:48:49Z,Java,88,1,147,146
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,2025-08-19T18:12:39Z,Python,302,0,99,64
tensorflow/models,2016-02-05T01:15:20Z,2025-08-19T14:19:44Z,Python,2341,50,7312,6236
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,2025-08-19T20:16:24Z,,23,0,99,54
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,2025-08-19T19:39:39Z,,453,0,185,174
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,2025-08-19T19:47:58Z,HTML,374,0,146,140
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,2025-08-19T19:35:30Z,,175,0,61,34
nomic-ai/gpt4all,2023-03-27T18:49:32Z,2025-08-19T20:12:09Z,C++,934,38,2185,1487
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,2025-08-19T17:11:23Z,Java,63,0,62,42
microsoft/playwright,2019-11-15T18:32:42Z,2025-08-19T19:54:20Z,TypeScript,15054,150,16296,15467
netdata/netdata,2013-06-17T18:39:10Z,2025-08-19T19:35:35Z,C,10919,120,8112,7947
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,2025-08-19T19:35:37Z,JavaScript,211,60,19748,15997
fighting41love/funNLP,2018-08-21T11:20:39Z,2025-08-19T18:06:33Z,Python,14,0,81,47
ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,2025-08-19T19:38:35Z,,23,0,54,17
syncthing/syncthing,2013-11-26T09:48:21Z,2025-08-19T20:12:29Z,Go,2753,439,5695,5363
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,2025-08-19T19:15:29Z,JavaScript,1303,0,1304,1108
vitejs/vite,2020-04-21T05:03:57Z,2025-08-19T16:49:05Z,TypeScript,5582,598,8080,7616
typicode/json-server,2013-11-27T13:21:13Z,2025-08-19T20:04:49Z,JavaScript,121,38,1168,549
unionlabs/union,2023-05-16T22:33:39Z,2025-08-19T20:12:22Z,Rust,2749,95,1822,1590
ruanyf/weekly,2018-10-13T12:36:07Z,2025-08-19T16:56:30Z,,101,0,7078,1078
elastic/elasticsearch,2010-02-08T13:20:56Z,2025-08-19T19:53:03Z,Java,80415,202,40574,36252
immich-app/immich,2022-02-03T15:56:27Z,2025-08-19T20:13:19Z,TypeScript,7129,260,6261,5688
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,2025-08-19T19:28:52Z,TypeScript,1864,83,2044,1554
coder/code-server,2019-02-27T16:50:41Z,2025-08-19T19:38:10Z,TypeScript,1576,200,3703,3569
louislam/uptime-kuma,2021-07-03T01:02:42Z,2025-08-19T19:38:16Z,JavaScript,1317,111,4158,3449
vuejs/awesome-vue,2015-10-20T00:16:14Z,2025-08-19T18:38:53Z,,3574,0,228,190
junegunn/fzf,2013-10-23T16:04:23Z,2025-08-19T20:06:19Z,Go,595,70,3014,2780
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,2025-08-19T19:55:25Z,,431,0,174,103
hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,2025-08-19T18:25:49Z,Python,85,8,981,916
nestjs/nest,2017-02-04T20:12:52Z,2025-08-19T20:01:04Z,TypeScript,7404,131,5672,5643
microsoft/markitdown,2024-11-13T19:56:40Z,2025-08-19T20:03:39Z,Python,147,14,323,69
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,2025-08-19T19:33:23Z,Python,1019,16,0,0
CompVis/stable-diffusion,2022-08-10T14:36:44Z,2025-08-19T19:38:22Z,Jupyter Notebook,5,0,727,195
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,2025-08-19T19:38:32Z,TypeScript,316,49,3765,3661
abi/screenshot-to-code,2023-11-14T17:53:32Z,2025-08-19T18:49:52Z,Python,49,0,382,278
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,2025-08-19T19:38:41Z,,179,1,148,147
redis/redis,2009-03-21T22:32:25Z,2025-08-19T18:38:02Z,C,4159,96,6779,4627
google-gemini/gemini-cli,2025-04-17T17:04:31Z,2025-08-19T20:13:25Z,TypeScript,1847,44,3451,1936
moby/moby,2013-01-18T18:10:57Z,2025-08-19T19:49:16Z,Go,21471,237,23123,19927
pallets/flask,2010-04-06T11:11:59Z,2025-08-19T19:36:06Z,Python,1611,36,2692,2691
ventoy/Ventoy,2020-03-10T15:19:19Z,2025-08-19T19:24:16Z,C,280,105,2527,1670
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,2025-08-19T19:39:41Z,,234,0,0,0
grafana/grafana,2013-12-11T15:59:56Z,2025-08-19T20:12:55Z,TypeScript,56673,550,40935,37448
enaqx/awesome-react,2014-08-06T05:31:44Z,2025-08-19T19:34:29Z,,780,0,113,109
hakimel/reveal.js,2011-06-07T18:54:22Z,2025-08-19T19:49:49Z,JavaScript,409,49,2462,1690
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,2025-08-19T19:22:06Z,Python,872,0,93,93
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,2025-08-19T19:29:02Z,Python,548,5,0,0
strapi/strapi,2015-09-30T15:34:48Z,2025-08-19T19:40:14Z,TypeScript,9121,477,11174,10183
binary-husky/gpt_academic,2023-03-20T09:05:13Z,2025-08-19T14:46:36Z,Python,223,32,1741,1478
swiftlang/swift,2015-10-23T21:15:07Z,2025-08-19T19:29:35Z,C++,55418,60,16771,9424
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2025-08-19T19:50:07Z,C++,1411,34,2725,2303
protocolbuffers/protobuf,2014-08-26T15:52:15Z,2025-08-19T17:18:48Z,C++,7776,195,6640,6406
python/cpython,2017-02-10T19:23:51Z,2025-08-19T17:18:57Z,Python,52769,0,73330,66097
base/node,2023-02-01T13:55:02Z,2025-08-19T15:01:58Z,Go,186,54,239,190
sherlock-project/sherlock,2018-12-24T14:30:48Z,2025-08-19T19:39:22Z,Python,642,1,1074,970
browser-use/browser-use,2024-10-31T16:00:56Z,2025-08-19T20:19:53Z,Python,970,73,1053,549
ocornut/imgui,2014-07-21T14:29:47Z,2025-08-19T19:44:09Z,C++,405,114,6533,5521
apache/superset,2015-07-21T18:55:34Z,2025-08-19T19:25:48Z,TypeScript,14819,232,11624,11159
expressjs/express,2009-06-26T18:56:01Z,2025-08-19T18:05:55Z,JavaScript,458,160,3990,3885
openai/openai-cookbook,2022-03-11T02:08:53Z,2025-08-19T20:04:23Z,Jupyter Notebook,861,0,597,556
Alvin9999/new-pac,2016-03-23T08:43:36Z,2025-08-19T20:15:34Z,Python,0,0,1769,1333
punkpeye/awesome-mcp-servers,2024-11-30T04:49:10Z,2025-08-19T20:13:57Z,,920,0,102,74
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,2025-08-19T17:23:53Z,HTML,297,5,211,104
chartjs/Chart.js,2013-03-17T23:56:36Z,2025-08-19T19:50:15Z,JavaScript,3002,116,7265,6804
obsproject/obs-studio,2013-10-01T02:40:31Z,2025-08-19T20:08:13Z,C,5201,223,4602,3930
caddyserver/caddy,2015-01-13T19:45:03Z,2025-08-19T20:15:09Z,Go,2117,128,4322,4143
localsend/localsend,2022-12-16T00:46:07Z,2025-08-19T19:31:45Z,Dart,667,24,1429,644
ansible/ansible,2012-03-06T14:58:02Z,2025-08-19T19:50:31Z,Python,39191,162,33024,32473
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,2025-08-19T20:06:06Z,,800,0,583,237
rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,2025-08-19T20:18:15Z,Jupyter Notebook,387,0,170,166
Eugeny/tabby,2016-12-23T09:06:10Z,2025-08-19T18:45:01Z,TypeScript,1489,200,5716,3415
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,2025-08-19T19:15:07Z,JavaScript,252,0,103,81
webpack/webpack,2012-03-10T10:08:14Z,2025-08-19T19:53:11Z,JavaScript,5104,438,10091,9970
astral-sh/uv,2023-10-02T20:24:11Z,2025-08-19T20:09:06Z,Rust,7180,208,7336,5431
nektos/act,2019-01-02T19:53:43Z,2025-08-19T19:51:48Z,Go,1045,88,1281,1061
danielmiessler/SecLists,2012-02-19T01:30:18Z,2025-08-19T20:06:47Z,PHP,681,28,296,290
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,2025-08-19T17:31:46Z,Dart,3882,111,3616,2642
xtekky/gpt4free,2023-03-29T17:00:43Z,2025-08-19T18:38:11Z,Python,812,330,1860,1853
modelcontextprotocol/servers,2024-11-19T01:10:17Z,2025-08-19T20:14:19Z,TypeScript,867,19,632,457
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,2025-08-19T19:20:37Z,,328,0,250,233
lobehub/lobe-chat,2023-05-21T07:19:12Z,2025-08-19T19:08:44Z,TypeScript,2501,1000,4318,3437
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,2025-08-19T20:09:10Z,,36,0,0,0
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,2025-08-19T19:35:14Z,Java,2201,135,1393,1077
apache/echarts,2013-04-03T03:18:59Z,2025-08-19T19:53:17Z,TypeScript,1446,122,19080,17221
kdn251/interviews,2017-02-14T18:19:25Z,2025-08-19T19:49:36Z,Java,42,0,56,24
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,2025-08-19T17:39:27Z,,188,1,118,48
zed-industries/zed,2021-02-20T03:01:06Z,2025-08-19T19:46:03Z,Rust,16252,963,14054,11443
jesseduffield/lazygit,2018-05-19T00:53:06Z,2025-08-19T20:08:16Z,Go,1687,169,2289,1591
kelseyhightower/nocode,2018-02-06T23:54:00Z,2025-08-19T17:41:34Z,Dockerfile,1,1,4861,716
twitter/the-algorithm,2023-03-27T14:57:57Z,2025-08-19T09:26:16Z,Scala,2,0,1010,729
keras-team/keras,2015-03-28T00:35:42Z,2025-08-19T19:53:21Z,Python,4232,80,12526,12294
juliangarnier/anime,2016-03-13T21:37:45Z,2025-08-19T20:15:01Z,JavaScript,79,22,793,718
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2025-08-19T18:49:11Z,Python,13453,47,11650,10069
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,2025-08-19T16:40:48Z,,949,0,104,104
TheAlgorithms/Java,2016-07-16T10:21:02Z,2025-08-19T19:24:10Z,Java,2017,0,1108,1100
infiniflow/ragflow,2023-12-12T06:13:13Z,2025-08-19T20:20:05Z,TypeScript,3709,30,4929,2284
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,2025-08-19T19:32:09Z,Python,101,0,137,113
resume/resume.github.com,2011-02-06T13:39:55Z,2025-08-19T09:42:00Z,JavaScript,84,0,122,66
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,2025-08-19T16:39:40Z,Assembly,343,0,382,326
socketio/socket.io,2010-03-11T18:24:48Z,2025-08-19T19:53:29Z,TypeScript,435,75,3616,3422
All-Hands-AI/OpenHands,2024-03-13T03:33:31Z,2025-08-19T20:15:08Z,Python,5103,75,3261,2940
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,2025-08-19T19:17:28Z,,194,0,80,39
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,2025-08-19T18:24:59Z,,418,0,104,102
FuelLabs/sway,2021-01-19T20:54:33Z,2025-08-19T16:52:52Z,Rust,3497,178,3297,2448
facebook/docusaurus,2017-06-20T16:13:53Z,2025-08-19T19:53:33Z,TypeScript,5482,151,3319,3025
reduxjs/redux,2015-05-29T23:53:15Z,2025-08-19T15:54:33Z,TypeScript,1720,78,2063,2025
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,2025-08-19T20:15:10Z,MDX,338,0,222,71
lodash/lodash,2012-04-07T04:11:46Z,2025-08-19T19:53:48Z,JavaScript,581,2,4312,4228
atom/atom,2012-01-20T18:18:21Z,2025-08-19T14:14:46Z,JavaScript,3933,538,17110,16148
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,2025-08-19T19:55:31Z,Nunjucks,484,0,177,143
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,2025-08-19T17:11:23Z,,49,0,71,22
openinterpreter/open-interpreter,2023-07-14T07:10:44Z,2025-08-19T18:36:18Z,Python,369,48,1025,797
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,2025-08-19T20:19:09Z,Python,132,0,92,87
localstack/localstack,2016-10-25T23:48:03Z,2025-08-19T20:15:28Z,Python,6223,94,5995,5757
adam-p/markdown-here,2012-05-13T03:27:22Z,2025-08-19T19:55:48Z,JavaScript,27,17,629,324
alacritty/alacritty,2016-02-18T05:02:30Z,2025-08-19T19:55:50Z,Rust,1887,101,6123,5800
prometheus/prometheus,2012-11-24T11:14:12Z,2025-08-19T19:57:21Z,Go,7625,341,6165,5641
mlabonne/llm-course,2023-06-17T22:16:25Z,2025-08-19T18:55:57Z,,1,0,84,30
rust-lang/rustlings,2015-09-15T02:25:18Z,2025-08-19T17:01:46Z,Rust,912,45,736,686
jquery/jquery,2009-04-03T15:20:14Z,2025-08-19T14:24:36Z,JavaScript,812,11,2365,2286
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,2025-08-19T20:06:58Z,Java,520,45,5528,4059
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,2025-08-19T18:47:39Z,CSS,550,38,1090,1062
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,2025-08-19T14:09:41Z,C#,290,55,2912,2727
tldr-pages/tldr,2013-12-08T07:34:43Z,2025-08-19T20:20:29Z,Markdown,14685,6,1519,1338
angular/angular.js,2010-01-06T00:34:37Z,2025-08-19T10:46:36Z,JavaScript,789,0,9040,8649
